"participant_id","fsm_type","test_condition","learning_counter","sender","state_current","response_current","state_next","state_1","response_1","state_2","response_2","state_3","response_time","response_time_lessThan300ms","trial_id"
4,"easy","control",37,"learning_control_trial_seq",0,"a",2,2,"a",0,"a",2,924,0,"0a2"
4,"easy","control",38,"learning_control_trial_seq",2,"b",2,0,"a",2,"b",2,2940,0,"2b2"
4,"easy","control",39,"learning_control_trial_seq",2,"a",3,2,"b",2,"a",3,779,0,"2a3"
4,"easy","control",40,"learning_control_trial_seq",3,"b",3,2,"a",3,"b",3,1385,0,"3b3"
4,"easy","control",41,"learning_control_trial_seq",3,"a",1,3,"b",3,"a",1,1572,0,"3a1"
4,"easy","control",42,"learning_control_trial_seq",1,"a",0,3,"a",1,"a",0,1167,0,"1a0"
4,"easy","control",43,"learning_control_trial_seq",0,"a",2,1,"a",0,"a",2,960,0,"0a2"
4,"easy","control",44,"learning_control_trial_seq",2,"a",0,0,"a",2,"a",0,728,0,"2a0"
4,"easy","control",45,"learning_control_trial_seq",0,"b",2,2,"a",0,"b",2,2219,0,"0b2"
5,"easy","prediction",2,"trial_1_seq",1,"b",0,NA,NA,1,"b",0,5173,0,"1b0"
5,"easy","prediction",3,"trial_2_seq",0,"a",2,1,"b",0,"a",2,3768,0,"0a2"
5,"easy","prediction",4,"learning_control_trial_seq",2,"a",0,0,"a",2,"a",0,2827,0,"2a0"
5,"easy","prediction",5,"learning_control_trial_seq",0,"a",2,2,"a",0,"a",2,3047,0,"0a2"
5,"easy","prediction",6,"learning_control_trial_seq",2,"b",2,0,"a",2,"b",2,2098,0,"2b2"
5,"easy","prediction",7,"learning_control_trial_seq",2,"b",2,2,"b",2,"b",2,2112,0,"2b2"
5,"easy","prediction",8,"learning_control_trial_seq",2,"b",2,2,"b",2,"b",2,1691,0,"2b2"
5,"easy","prediction",9,"learning_control_trial_seq",2,"a",0,2,"b",2,"a",0,3240,0,"2a0"
5,"easy","prediction",10,"learning_control_trial_seq",0,"a",2,2,"a",0,"a",2,3526,0,"0a2"
5,"easy","prediction",11,"learning_control_trial_seq",2,"a",0,0,"a",2,"a",0,1125,0,"2a0"
5,"easy","prediction",12,"learning_control_trial_seq",0,"b",2,2,"a",0,"b",2,2291,0,"0b2"
5,"easy","prediction",13,"learning_control_trial_seq",2,"b",2,0,"b",2,"b",2,3849,0,"2b2"
5,"easy","prediction",14,"learning_control_trial_seq",2,"b",2,2,"b",2,"b",2,1248,0,"2b2"
5,"easy","prediction",15,"learning_control_trial_seq",2,"a",3,2,"b",2,"a",3,1330,0,"2a3"
5,"easy","prediction",16,"learning_control_trial_seq",3,"a",1,2,"a",3,"a",1,3589,0,"3a1"
5,"easy","prediction",17,"learning_control_trial_seq",1,"a",0,3,"a",1,"a",0,1561,0,"1a0"
5,"easy","prediction",18,"learning_control_trial_seq",0,"b",2,1,"a",0,"b",2,2648,0,"0b2"
5,"easy","prediction",19,"learning_control_trial_seq",2,"b",2,0,"b",2,"b",2,2140,0,"2b2"
5,"easy","prediction",20,"learning_control_trial_seq",2,"a",3,2,"b",2,"a",3,878,0,"2a3"
5,"easy","prediction",21,"learning_control_trial_seq",3,"a",0,2,"a",3,"a",0,1488,0,"3a0"
5,"easy","prediction",22,"learning_control_trial_seq",0,"a",2,3,"a",0,"a",2,1181,0,"0a2"
5,"easy","prediction",23,"learning_control_trial_seq",2,"b",2,0,"a",2,"b",2,2303,0,"2b2"
5,"easy","prediction",24,"learning_control_trial_seq",2,"b",2,2,"b",2,"b",2,874,0,"2b2"
5,"easy","prediction",25,"learning_control_trial_seq",2,"a",0,2,"b",2,"a",0,574,0,"2a0"
5,"easy","prediction",26,"learning_control_trial_seq",0,"a",2,2,"a",0,"a",2,1458,0,"0a2"
5,"easy","prediction",27,"learning_control_trial_seq",2,"a",3,0,"a",2,"a",3,1639,0,"2a3"
5,"easy","prediction",28,"learning_control_trial_seq",3,"a",1,2,"a",3,"a",1,1986,0,"3a1"
5,"easy","prediction",29,"learning_control_trial_seq",1,"b",0,3,"a",1,"b",0,1216,0,"1b0"
5,"easy","prediction",30,"learning_control_trial_seq",0,"b",2,1,"b",0,"b",2,721,0,"0b2"
5,"easy","prediction",31,"learning_control_trial_seq",2,"a",0,0,"b",2,"a",0,1350,0,"2a0"
5,"easy","prediction",32,"learning_control_trial_seq",0,"a",2,2,"a",0,"a",2,2939,0,"0a2"
5,"easy","prediction",33,"learning_control_trial_seq",2,"b",2,0,"a",2,"b",2,2376,0,"2b2"
5,"easy","prediction",34,"learning_control_trial_seq",2,"b",2,2,"b",2,"b",2,512,0,"2b2"
5,"easy","prediction",35,"learning_control_trial_seq",2,"a",0,2,"b",2,"a",0,481,0,"2a0"
5,"easy","prediction",36,"learning_control_trial_seq",0,"a",2,2,"a",0,"a",2,1100,0,"0a2"
5,"easy","prediction",37,"learning_control_trial_seq",2,"a",3,0,"a",2,"a",3,1528,0,"2a3"
5,"easy","prediction",38,"learning_control_trial_seq",3,"b",3,2,"a",3,"b",3,1178,0,"3b3"
5,"easy","prediction",39,"learning_control_trial_seq",3,"b",3,3,"b",3,"b",3,1556,0,"3b3"
5,"easy","prediction",40,"learning_control_trial_seq",3,"b",3,3,"b",3,"b",3,2505,0,"3b3"
5,"easy","prediction",41,"learning_control_trial_seq",3,"a",1,3,"b",3,"a",1,1084,0,"3a1"
5,"easy","prediction",42,"learning_control_trial_seq",1,"a",0,3,"a",1,"a",0,2242,0,"1a0"
5,"easy","prediction",43,"learning_control_trial_seq",0,"a",2,1,"a",0,"a",2,1061,0,"0a2"
5,"easy","prediction",44,"learning_control_trial_seq",2,"b",2,0,"a",2,"b",2,696,0,"2b2"
5,"easy","prediction",45,"learning_control_trial_seq",2,"b",2,2,"b",2,"b",2,2032,0,"2b2"
6,"hard","prediction",2,"trial_1_seq",1,"a",0,NA,NA,1,"a",0,1422,0,"1a0"
6,"hard","prediction",3,"trial_2_seq",0,"a",3,1,"a",0,"a",3,1389,0,"0a3"
6,"hard","prediction",4,"learning_control_trial_seq",3,"a",2,0,"a",3,"a",2,1972,0,"3a2"
6,"hard","prediction",5,"learning_control_trial_seq",2,"a",2,3,"a",2,"a",2,739,0,"2a2"
6,"hard","prediction",6,"learning_control_trial_seq",2,"a",2,2,"a",2,"a",2,789,0,"2a2"
6,"hard","prediction",7,"learning_control_trial_seq",2,"b",1,2,"a",2,"b",1,805,0,"2b1"
6,"hard","prediction",8,"learning_control_trial_seq",1,"b",1,2,"b",1,"b",1,1122,0,"1b1"
6,"hard","prediction",9,"learning_control_trial_seq",1,"a",1,1,"b",1,"a",1,938,0,"1a1"
6,"hard","prediction",10,"learning_control_trial_seq",1,"b",3,1,"a",1,"b",3,856,0,"1b3"
6,"hard","prediction",11,"learning_control_trial_seq",3,"a",2,1,"b",3,"a",2,656,0,"3a2"
6,"hard","prediction",12,"learning_control_trial_seq",2,"a",2,3,"a",2,"a",2,705,0,"2a2"
6,"hard","prediction",13,"learning_control_trial_seq",2,"b",1,2,"a",2,"b",1,17957,0,"2b1"
6,"hard","prediction",14,"learning_control_trial_seq",1,"b",1,2,"b",1,"b",1,1005,0,"1b1"
6,"hard","prediction",15,"learning_control_trial_seq",1,"a",1,1,"b",1,"a",1,1205,0,"1a1"
6,"hard","prediction",16,"learning_control_trial_seq",1,"a",1,1,"a",1,"a",1,622,0,"1a1"
6,"hard","prediction",17,"learning_control_trial_seq",1,"a",0,1,"a",1,"a",0,556,0,"1a0"
6,"hard","prediction",18,"learning_control_trial_seq",0,"b",3,1,"a",0,"b",3,3039,0,"0b3"
6,"hard","prediction",19,"learning_control_trial_seq",3,"b",3,0,"b",3,"b",3,672,0,"3b3"
6,"hard","prediction",20,"learning_control_trial_seq",3,"b",2,3,"b",3,"b",2,4688,0,"3b2"
6,"hard","prediction",21,"learning_control_trial_seq",2,"b",1,3,"b",2,"b",1,955,0,"2b1"
6,"hard","prediction",22,"learning_control_trial_seq",1,"b",1,2,"b",1,"b",1,689,0,"1b1"
6,"hard","prediction",23,"learning_control_trial_seq",1,"a",0,1,"b",1,"a",0,1422,0,"1a0"
6,"hard","prediction",24,"learning_control_trial_seq",0,"a",3,1,"a",0,"a",3,1256,0,"0a3"
6,"hard","prediction",25,"learning_control_trial_seq",3,"a",0,0,"a",3,"a",0,588,0,"3a0"
6,"hard","prediction",26,"learning_control_trial_seq",0,"a",3,3,"a",0,"a",3,572,0,"0a3"
6,"hard","prediction",27,"learning_control_trial_seq",3,"a",2,0,"a",3,"a",2,2022,0,"3a2"
